vms,alg,gain,error
5,HIFB,24.8,0.00
5,HDB,27.5,0.79
5,HRB,27.5,0.09
5,HC,24.8,0.98
10,HIFB,13.0,0.15
10,HDB,22.4,0.00
10,HRB,23.4,0.15
10,HC,18.2,1.51
15,HIFB,7.6,0.22
15,HDB,19.2,0.57
15,HRB,20.8,0.23
15,HC,13.9,2.28
20,HIFB,9.5,0.00
20,HDB,16.2,0.62
20,HRB,18.9,1.11
20,HC,8.1,2.21
25,HIFB,3.6,0.00
25,HDB,11.0,0.00
25,HRB,14.0,0.48
25,HC,3.3,1.3
