vms,alg,gain,error
5,HIFB,29.2,0.00
5,HDB,22.2,0.04
5,HRB,18.0,0.63
5,HC,16.7,0.66
10,HIFB,18.1,0.00
10,HDB,13.3,0.00
10,HRB,14.2,0.94
10,HC,13.1,0.93
15,HIFB,9.9,1.76
15,HDB,13.3,0.00
15,HRB,11.3,1.00
15,HC,9.0,0.89
20,HIFB,15.1,1.13
20,HDB,11.5,0.00
20,HRB,9.7,0.68
20,HC,4.1,2.67
25,HIFB,4.2,0.00
25,HDB,10.9,0.00
25,HRB,8.9,1.15
25,HC,3.9,1.14
