alg,vc,gain,error
HIFB,VC-prior,11.1,0.00
HIFB,VC-posterior,9.5,0.00
HIFB,No-VC,9.5,0.04
HDB,VC-prior,20.4,0.06
HDB,VC-posterior,15.9,0.00
HDB,No-VC,16.2,0.62
HRB,VC-prior,21.6,0.00
HRB,VC-posterior,18.7,0.36
HRB,No-VC,18.8,0.46
HC,VC-prior,13.1,2.18
HC,VC-posterior,7.7,2.50
HC,No-VC,8.4,2.46
VC-only,VC-prior,,
VC-only,VC-only,14.0,0.09
VC-only,No-VC,,
