alg,vc,gain,error
HIFB,VC-prior,10.1,0.07
HIFB,VC-posterior,9.4,0.00
HIFB,No-VC,8.9,0.00
HDB,VC-prior,6.3,1.49
HDB,VC-posterior,14.4,1.69
HDB,No-VC,14.4,0.79
HRB,VC-prior,20.8,0.09
HRB,VC-posterior,19.9,0.00
HRB,No-VC,19.5,0.00
HC,VC-prior,8.9,4.52
HC,VC-posterior,5.9,6.28
HC,No-VC,10.9,3.25
VC-only,VC-prior,,
VC-only,VC-only,4.9,1.21
VC-only,No-VC,,
