alg,vc,gain,error
HIFB,VC-prior,50.1,0.00
HIFB,VC-posterior,47.9,0.00
HIFB,No-VC,37.0,0.02
HIFB,VC-only,8.8,0.30
HDB,VC-prior,41.0,0.01
HDB,VC-posterior,39.8,0.00
HDB,No-VC,29.0,0.00
HDB,VC-only,8.8,0.30
HRB,VC-prior,44.4,1.20
HRB,VC-posterior,44.1,1.28
HRB,No-VC,33.8,1.04
HRB,VC-only,8.8,0.30
HC,VC-prior,45.4,1.81
HC,VC-posterior,44.0,1.34
HC,No-VC,33.3,1.27
HC,VC-only,8.8,0.30
